10000;10000
6644,7793
100
7315,8299
5029,8022
5002,934
7041,2275
621,2163
7119,6177
9543,7279
1891,7989
1971,1713
8976,3635
7901,3616
9618,4109
2039,9296
1039,4753
4623,4335
4487,288
481,339
3585,6872
5249,1087
7413,4236
4410,6069
4179,2013
3296,152
3868,6172
6122,3315
7607,7499
4851,7847
8932,8525
5445,3806
6926,9934
4600,5058
9058,7244
6336,6092
762,8954
2001,9022
2827,7177
8107,8858
3600,357
6183,8169
9306,3213
890,967,80
3716,1148
3967,4309
6768,6537
8699,9487
8577,5293
7586,2891
1569,6322
3133,1299
7582,4649
1587,536
912,5916
6491,7719
9990,269
3730,6156
553,1192
7428,900
4680,1094
1681,4969
1816,1500
5844,4811
598,7937
7761,5532
9818,2769
3020,798
3741,2882
8774,2837
4064,3807
7616,256
8264,9339
6078,4045
1110,216
1091,2099
111,3832
9596,5726
5971,3352
5641,5390
95,5075
2628,1436
7190,9078
5358,8692,57
5553,9419
2599,5186
3566,2889
4917,9948
1965,1775
8939,9723
7931,9721
8731,4926
1016,792
8333,4236
3024,6177
5252,7371
2771,1037
7371,7546
1736,3797
1836,8314
9709,127
296,8177
8283,7173
