10000;10000
5644,2892
100
1041,5839
1511,5566
4963,5897
7880,8418
1024,15
2249,4028
2074,1938
7352,2075
9100,2718
1242,7260
6587,2382
69,2219
3241,237
251,9454
5202,425
7613,6547
3641,5610
6301,5224
5417,6615
6980,9950
1017,4184
9406,1600
9961,1789
7018,1227
5288,1070
6388,8752
894,6543
2744,9444
7199,367
9437,1262
9870,9140,16
6216,6692
7324,7837
2914,9966
1008,5800
6343,9364
1386,9367
9951,131
6176,820
1606,1396
1031,7890
464,1658
3281,3913
1308,3477
8386,4842
9263,1424
2449,6165
5633,9241
3362,4477
235,9108
3552,36
2605,2155
207,475
5192,78
7363,7698
446,7642
8667,3073
2974,1448
2802,1080
654,5685
4384,793
4258,4285
8513,9765
416,5851
966,1645
7097,9136
1152,8186
4582,6841
7739,9275
1604,1466
1870,6827
2559,2880
8871,7409
1037,940
7488,4805
5631,1180
7121,7550
597,5149
8965,8927
2848,944
1801,5867
8110,804
7329,4133
3339,2876
4192,5090
2178,1682
1242,8666
3691,2760
860,3610
9030,5692
9285,8801
694,4080
7351,4133
5410,6274
3697,9476
4577,1926
753,2102
8146,6152
1186,8651
8185,1700
