5000;5000
1397,4942
1000
4467,151
4256,4074
2747,2043
1668,243
524,3040
1476,2327
614,4944
3218,2122
1558,4128
1663,4237
419,4678
176,3960
1017,286
4047,4649
4984,2855
4005,1041
1672,1945
1234,3422
951,3523
2320,4596
1862,4084
1267,414
1758,3800
3937,4843
3085,4486
4935,2378
3634,2192
183,3156
3744,872
2278,2966
4290,22
506,4646
1613,4801
2713,2734
4449,3322
504,2708
2580,3116
1329,225
3531,2724
779,4978
2335,1064
22,1905
2539,3281
252,2969
3996,4185
3959,879
4125,2912
673,3997
2705,3672
1377,787
1153,2323
1415,4744
4940,597
420,4070
1228,3551
3401,494
1412,1760
3779,3134
1571,4277
1812,3422
1758,656
2714,2018
2081,4480
1417,760
1525,1012
117,1018
4177,1409
2342,1907
4187,4267
2733,4746
239,4859
2752,4866
3362,689
341,1082
527,2768
622,750
3159,3237
2931,1351
3229,2154
3211,4350
524,401
428,2944
3903,3133
1723,4826
1660,1925
4105,957
1914,1034
3040,2589
3170,2832
2536,3913
2097,3675
2499,3304
430,1336
4500,1615
1543,4256
2706,651
3874,4321
1229,1567
4485,1596
3697,4318
1789,1657
3859,1780
4553,1170
1430,3579
1107,378
1510,3962
3234,1879
1701,2905
2362,1859
1519,429
3492,2914
438,271
3434,3233
677,4367
2524,1146
4023,4954
2298,2776
3537,1233
3939,2602
2963,1811
931,4106
4667,3345
1276,2952
2876,1450
1199,326
2905,2257
3352,3153
2558,4935
279,4838
2279,1228
4991,1859
4133,2495
2100,4355
3008,2656
4908,1787
1929,4048
2933,2361
1156,3167
1676,4181
1256,1638
4716,3041
889,4955
2439,4990
4335,3188
2116,3149
1145,2831
1270,4868
4764,1946
4209,3593
3463,2270
43,3543
3067,3468
2802,2863
1954,269
1935,2899
4415,3241
706,180
707,840
3753,2933
4334,2962
2303,4170
184,2810
4035,3434
1298,2774
1093,1126
14,1177
711,3776
2898,3892
3570,1749
4773,4983
2039,3381
1260,3325
4442,3184
2044,3101
1439,4470
2706,2679
4700,2476
4238,1364
2662,4974
373,3164
2843,3559
1299,1089
4045,942
2849,1112
4370,1012
3592,2252
4827,3532
2759,2440
2727,2468
577,4455
4372,1999
1342,544
2484,4015
552,2383
3207,3600
3941,2390
2760,3989
1489,3663
1388,409
3062,647
2541,29
3155,1231
2180,476
41,2330
2367,4169
1273,4334
2475,2350
3957,3729
1076,2882
887,3806
2887,4342
3242,577
1058,1588
149,369
2577,2497
2574,4554
1664,2829
3415,1034
1928,1523
3318,615
4547,3789
3749,4061
886,2794
1228,1172
683,4558
2496,2437
1910,792
434,1113
2984,2528
186,4114
649,2022
4016,1304
3241,1108
651,4500
4064,397
948,3724
2615,4685
2018,3498
2261,148
688,4687
3020,670
1715,728
1731,417
